architecture,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
Pure YuNet,1,39.431514,,24.211554,34.019445,40.639400,98.840741,87.689333,95.400000,59.500000,72.714667,75.450000,0.000000,1347.000000,1347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
BlazeFace,1,59.901307,,15.826019,21.146958,25.798279,99.848148,67.869778,83.700000,58.400000,65.537778,68.850000,0.000000,1347.000000,0.000000,0.000000,1347.000000,100.000000,3.000000,449.000000,449.000000,449.000000,0.000000,0.000000,0.000000,0.000000
Pipeline V1,1,55.053094,,10.376128,50.183905,59.076264,86.451852,79.440444,88.900000,59.500000,68.108722,70.500000,0.000000,1347.000000,1265.000000,0.000000,82.000000,6.087602,22.000000,4.000000,4.000000,3.727273,0.000000,0.000000,0.000000,0.000000
Pipeline V2,1,54.069577,,12.946545,39.287437,47.728699,95.618519,80.010111,89.800000,57.850000,68.727167,71.050000,0.000000,1347.000000,1347.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
