video_name,buffer_size,runs,nominal_output_delay_ms,mean_fps,median_latency_ms,p95_latency_ms,output_released_frames,output_unprotected_frames,output_unprotected_target_frames,startup_dropped_frames,target_leakage_rate_pct
video7,0,10,0.000000,34.247948,27.923129,37.060822,90.000000,51.000000,51.000000,0.000000,100.000000
video7,5,10,166.666667,35.288159,27.355604,33.607354,0.000000,0.000000,0.000000,90.000000,100.000000
video7,15,10,500.000000,35.259824,27.274796,33.827569,0.000000,0.000000,0.000000,90.000000,100.000000
video7,30,10,1000.000000,35.173084,27.441345,34.805835,0.000000,0.000000,0.000000,90.000000,100.000000
