architecture,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
Pipeline V1,30,41.038649,18.988820,21.017225,86.703160,99.078161,74.214815,64.363778,90.500000,66.008333,65.949667,69.400000,0.000000,17592.000000,11802.000000,1539.000000,4251.000000,24.164393,192.000000,32.100000,157.000000,12.166304,5.350000,107.000000,6.000000,15.000000
Pipeline V2,30,40.947898,15.358812,26.299078,44.721280,55.725928,85.992593,66.654444,95.000000,65.605000,66.102444,69.950000,0.000000,17592.000000,11631.000000,3183.000000,2778.000000,15.791269,96.000000,29.400000,157.000000,10.438095,4.633333,93.000000,9.000000,12.000000
