video_name,architecture,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video8,Haar Cascade,3,3.702629,0.004611,281.489196,315.683252,322.768938,0.000000,91.768889,92.900000,71.783333,72.003333,73.800000,0.000000,1362.000000,990.000000,144.000000,228.000000,16.740088,27.000000,45.000000,45.000000,8.444444,0.000000,0.000000,0.000000,0.000000
video8,MTCNN,3,0.858923,0.030888,1169.620337,1197.215816,1223.881912,0.000000,54.802222,61.400000,64.083333,64.657778,67.200000,0.000000,1362.000000,1332.000000,3.000000,27.000000,1.982379,9.000000,5.000000,5.000000,3.000000,0.000000,0.000000,0.000000,0.000000
video8,UltraFace,3,41.058890,1.439958,23.614467,33.500664,41.043219,98.666667,98.920000,100.000000,71.050000,72.052222,74.350000,0.000000,1362.000000,1332.000000,3.000000,27.000000,1.982379,6.000000,5.000000,5.000000,4.500000,0.000000,0.000000,0.000000,0.000000
video8,BlazeFace,3,61.233835,0.523802,15.877334,19.377413,21.318986,99.777778,54.593333,68.700000,65.366667,65.635556,67.750000,0.000000,1362.000000,231.000000,15.000000,1116.000000,81.938326,117.000000,146.000000,146.000000,9.538462,0.000000,0.000000,0.000000,0.000000
video8,Pure YuNet,3,42.267629,0.185086,23.013909,28.805680,33.501621,99.777778,85.713333,89.800000,71.966667,72.406667,73.800000,0.000000,1362.000000,1320.000000,3.000000,39.000000,2.863436,15.000000,5.000000,5.000000,2.600000,0.000000,0.000000,0.000000,0.000000
video8,Pipeline V2,3,68.345330,0.456472,9.319381,32.352083,38.291233,99.259259,80.435556,84.800000,67.750000,68.202222,69.950000,0.000000,1362.000000,1290.000000,66.000000,6.000000,0.440529,3.000000,2.000000,2.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video9,Haar Cascade,3,1.830402,0.002434,534.360069,629.511117,643.905953,0.000000,95.906667,96.500000,72.150000,72.785556,74.350000,0.000000,4041.000000,3783.000000,6.000000,252.000000,6.236080,42.000000,38.000000,38.000000,6.000000,0.000000,0.000000,0.000000,0.000000
video9,MTCNN,3,0.681783,0.068640,1481.597632,1612.884047,1655.951447,0.000000,61.037778,65.900000,65.550000,65.256667,67.200000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video9,UltraFace,3,33.611939,0.673917,28.646998,45.133974,51.480823,88.814815,96.675556,100.000000,71.600000,72.553333,74.350000,0.000000,4041.000000,3864.000000,0.000000,177.000000,4.380104,60.000000,8.000000,8.000000,2.950000,0.000000,0.000000,0.000000,0.000000
video9,BlazeFace,3,57.982025,0.417991,16.202914,22.688451,27.558525,99.777778,68.024444,72.900000,65.733333,67.077778,68.850000,0.000000,4041.000000,0.000000,0.000000,4041.000000,100.000000,9.000000,449.000000,449.000000,449.000000,0.000000,0.000000,0.000000,0.000000
video9,Pure YuNet,3,38.649575,0.100543,24.460126,35.010216,40.813504,98.592593,85.951111,89.800000,72.333333,72.907778,74.350000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video9,Pipeline V2,3,51.473825,0.233978,12.628557,43.417221,55.072380,92.222222,81.057778,86.500000,67.200000,68.006667,69.400000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,Haar Cascade,3,5.126840,0.020936,193.697394,212.784710,218.323337,0.000000,86.806667,88.200000,71.783333,71.453333,72.700000,0.000000,2133.000000,0.000000,0.000000,2133.000000,100.000000,39.000000,164.000000,164.000000,54.692308,0.000000,0.000000,0.000000,9.000000
video10,MTCNN,3,0.873906,0.043410,1172.833909,1210.839733,1230.859062,0.000000,54.806667,58.600000,64.450000,64.706667,66.650000,0.000000,2133.000000,0.000000,0.000000,2133.000000,100.000000,39.000000,164.000000,164.000000,54.692308,0.000000,0.000000,0.000000,9.000000
video10,UltraFace,3,34.781875,0.083677,27.575292,35.938400,42.819555,98.370370,98.457778,100.000000,72.333333,72.981111,75.450000,0.000000,2133.000000,0.000000,0.000000,2133.000000,100.000000,39.000000,164.000000,164.000000,54.692308,0.000000,0.000000,0.000000,9.000000
video10,BlazeFace,3,56.717734,0.076305,17.071470,20.354673,22.543233,99.333333,52.528889,81.800000,64.083333,64.181111,66.100000,0.000000,2133.000000,0.000000,0.000000,2133.000000,100.000000,39.000000,164.000000,164.000000,54.692308,0.000000,0.000000,0.000000,9.000000
video10,Pure YuNet,3,34.779397,0.138422,27.583728,34.366428,38.494306,99.185185,77.044444,82.400000,70.500000,70.475556,72.700000,0.000000,2133.000000,24.000000,6.000000,2103.000000,98.593530,54.000000,157.000000,157.000000,38.944444,93.000000,93.000000,3.000000,9.000000
video10,Pipeline V2,3,20.189732,0.043701,33.533966,93.644225,102.227124,63.777778,66.733333,86.700000,65.183333,65.611111,68.300000,0.000000,2133.000000,537.000000,258.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
