architecture,decode_ms,resize_ms,detection_ms,tracking_ms,association_ms,coasting_ms,masking_ms
Pipeline V1,6.292664,0.336603,5.237417,21.814045,0.000000,0.001961,1.007754
Pipeline V2,6.078152,0.510758,8.262672,13.219642,0.011067,0.000719,1.131624
