video_name,configuration,runs,mean_fps,fps_sd,median_latency_ms,p95_latency_ms,p99_latency_ms,frames_within_40ms_pct,mean_cpu_percent,peak_cpu_percent,initial_temperature_c,mean_temperature_c,peak_temperature_c,throttling_samples,visible_target_frames,protected_target_frames,partially_protected_target_frames,leaked_target_frames,target_leakage_rate_pct,leak_event_count,mean_max_consecutive_leak_frames,maximum_consecutive_leak_frames,mean_leak_event_duration_frames,mean_reacquisition_delay_frames,maximum_reacquisition_delay_frames,resolved_reappearance_count,unresolved_reappearance_count
video7,"C: FSM, no expansion",3,35.331434,0.204052,27.650885,35.329787,38.618420,99.333333,87.591111,92.300000,67.383333,68.691111,71.050000,0.000000,636.000000,30.000000,12.000000,594.000000,93.396226,24.000000,46.000000,46.000000,24.750000,0.000000,0.000000,0.000000,3.000000
video8,"C: FSM, no expansion",3,69.726179,1.103475,10.129907,32.467779,38.402312,99.259259,79.724444,85.200000,68.666667,68.458889,69.950000,0.000000,1362.000000,1269.000000,78.000000,15.000000,1.101322,3.000000,5.000000,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000
video9,"C: FSM, no expansion",3,53.809939,0.317050,12.164813,41.191409,50.400641,93.777778,78.653333,86.100000,66.466667,67.860000,69.400000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,"C: FSM, no expansion",3,20.348494,0.078224,33.727502,92.376585,99.715735,63.259259,67.268889,91.100000,65.550000,66.356667,69.400000,0.000000,2133.000000,534.000000,261.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
video1,D: Full Pipeline V2,3,44.182710,2.411774,18.420577,36.307256,73.337532,96.148148,68.920000,90.500000,62.800000,64.938889,68.300000,0.000000,1296.000000,990.000000,303.000000,3.000000,0.231481,3.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
video2,D: Full Pipeline V2,3,34.271231,1.743351,28.395164,33.233952,38.263015,99.185185,52.660000,62.500000,65.916667,64.914444,67.750000,0.000000,1347.000000,1317.000000,30.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video3,D: Full Pipeline V2,3,47.557288,6.161536,18.525948,34.966713,42.153343,96.740741,68.026667,89.500000,64.450000,65.085556,66.100000,0.000000,1347.000000,1338.000000,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video4,D: Full Pipeline V2,3,54.548636,0.321482,16.783037,30.369526,52.452691,98.074074,68.495556,80.600000,65.366667,65.574444,67.200000,0.000000,2814.000000,1581.000000,393.000000,840.000000,29.850746,24.000000,85.000000,85.000000,35.000000,0.000000,0.000000,0.000000,3.000000
video5,D: Full Pipeline V2,3,16.843215,0.027538,60.506273,75.827115,78.651975,19.481481,40.022222,50.000000,65.733333,64.278889,66.100000,0.000000,1347.000000,102.000000,1245.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video6,D: Full Pipeline V2,3,34.676200,0.145750,29.722401,42.322261,47.845491,88.592593,54.862222,72.100000,66.833333,66.564444,68.300000,0.000000,1269.000000,390.000000,867.000000,12.000000,0.945626,6.000000,3.000000,3.000000,2.000000,0.000000,0.000000,0.000000,0.000000
video7,D: Full Pipeline V2,3,35.739418,0.600148,27.308344,34.613269,39.549674,99.111111,87.686667,91.200000,67.750000,69.228889,71.600000,0.000000,636.000000,33.000000,42.000000,561.000000,88.207547,21.000000,46.000000,46.000000,26.714286,0.000000,0.000000,0.000000,3.000000
video8,D: Full Pipeline V2,3,69.904451,0.324364,10.052673,31.935587,39.276486,99.111111,79.368889,83.900000,68.483333,68.874444,70.500000,0.000000,1362.000000,1272.000000,90.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video9,D: Full Pipeline V2,3,54.182823,0.283642,12.330588,41.425200,50.992951,94.444444,78.626667,86.900000,67.566667,68.238889,69.400000,0.000000,4041.000000,4041.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
video10,D: Full Pipeline V2,3,20.366295,0.090934,33.040324,92.299863,101.762959,63.259259,67.162222,86.000000,65.366667,66.210000,68.850000,0.000000,2133.000000,534.000000,261.000000,1338.000000,62.728551,36.000000,157.000000,157.000000,37.166667,46.333333,93.000000,9.000000,6.000000
